Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.2478,IBM ITALIA / BUSINESS SOLUTIONS / JV,2001-05-23,2001-06-29,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2478_en.pdf
M.2427,INFINEON / CRYPTOMATHIC JV,2001-05-23,2001-06-27,Art. 6(1)(b),Phase I,J.63,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2427_en.pdf
M.2411,AUTOLOGIC / TNT / WALLENIUS / CAT JV,2001-05-21,2001-06-27,Art. 6(1)(b),Phase I,H.52|H.49,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2411_en.pdf
M.2468,SEAT PAGINE GIALLE / ENIRO,2001-05-21,2001-06-27,Art. 6(1)(b),Phase I,M.73|J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2468_en.pdf
M.2404,ELKEM / SAPA,2001-05-21,2001-06-26,Art. 6(1)(b),Phase I,C.25,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2404_en.pdf
M.2490,KNORR-BREMSE SFS / WEBASTO THERMOSYSTEME / JV,2001-05-21,2001-06-26,Art. 6(1)(b),Phase I,C.29,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2490_de.pdf
M.2369,CNH / FHE,2001-05-18,2001-06-26,Art. 6(1)(b),Phase I,C.28,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2369_en.pdf
M.2416,TETRA LAVAL / SIDEL,2001-05-18,2003-01-13,Art. 6(1)(b) with conditions & obligations,Phase I,C.28,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2416_20020130_1240_en.pdf
M.2469,VODAFONE / AIRTEL,2001-05-18,2001-06-26,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2469_en.pdf
M.2459,CDC / CHARTERHOUSE / ALSTOM CONTRACTING,2001-05-17,2001-06-19,Art. 6(1)(b),Phase I,F.43,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2459_en.pdf
M.2415,INTERPUBLIC / TRUE NORTH,2001-05-15,2001-06-21,Art. 6(1)(b),Phase I,M.73,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2415_en.pdf
M.2460,IBM / INFORMIX,2001-05-14,2001-06-19,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2460_en.pdf
